MSA,County,Year,Sector,Subsector,Activity Data Description,Activity Data Unit,Activity Data,GHG Emissions (MMTCO2e),Population,Emissions per Capita (MTCO2e)
Bridgeport-Stamford-Norwalk,Fairfield,2017,Agriculture & Land management,Synthetic Fertilizer,Synthetic Fertilizer Land Area,Acres,1849.04823900147,0.014273378088711,976389,0.014618536350482237
New Haven-Milford,New Haven,2017,Agriculture & Land management,Manure Fertilizer,Manure Fertilizer Land Area,Acres,1125.0,8.684224679000986e-05,862127,0.00010073022511765652
Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2017,Agriculture & Land management,Manure Fertilizer,Manure Fertilizer Land Area,Acres,8441.180670620543,0.0006516009733307,1239055,0.0005258854315027985
Bridgeport-Stamford-Norwalk,Fairfield,2017,Agriculture & Land management,Manure Fertilizer,Manure Fertilizer Land Area,Acres,297.00272885243913,2.292656380116436e-05,976389,2.3480973055989322e-05
New Haven-Milford,New Haven,2021,Wastewater Treatment,Wastewater Facility,Waste Water Facility,Unitless Ratio,0.238095238095238,0.0928571428571428,864751,0.10738020870417359
Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2021,Wastewater Treatment,Wastewater Facility,Waste Water Facility,Unitless Ratio,0.5834682244808476,0.2323470028280534,1238888,0.18754480052115557
Bridgeport-Stamford-Norwalk,Fairfield,2021,Wastewater Treatment,Wastewater Facility,Waste Water Facility,Unitless Ratio,0.1964303762251581,0.0790025678113523,986344,0.08009636375478768
New Haven-Milford,New Haven,2015,Forestry,Deciduous Forest,Deciduous Forest Area,Thousand Hectare,66.91305753,-0.5471257670703,862224,-0.6345517720108697
Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2015,Forestry,Deciduous Forest,Deciduous Forest Area,Thousand Hectare,192.04617611999998,-1.5702975667412002,1240217,-1.2661474296362654
Bridgeport-Stamford-Norwalk,Fairfield,2015,Forestry,Deciduous Forest,Deciduous Forest Area,Thousand Hectare,77.9059641,-0.637011099791,969332,-0.6571650371503263
New Haven-Milford,New Haven,2015,Forestry,Coniferous Forest,Coniferous Forest Area,Thousand Hectare,5.26304256,-0.043034144665599995,862224,-0.04991063188405797
Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2015,Forestry,Coniferous Forest,Coniferous Forest Area,Thousand Hectare,35.299674210000006,-0.28863366945710006,1240217,-0.23272836080871334
Bridgeport-Stamford-Norwalk,Fairfield,2015,Forestry,Coniferous Forest,Coniferous Forest Area,Thousand Hectare,7.40596953,-0.060556144190300004,969332,-0.062472036609025595
New Haven-Milford,New Haven,2015,Forestry,Forested Wetland,Forested Wetland Area,Thousand Hectare,4.61451081,-0.0377313167231,862224,-0.04376045751811594
Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2015,Forestry,Forested Wetland,Forested Wetland Area,Thousand Hectare,15.2648793,-0.124815829743,1240217,-0.1006403151569443
Bridgeport-Stamford-Norwalk,Fairfield,2015,Forestry,Forested Wetland,Forested Wetland Area,Thousand Hectare,4.85093655,-0.039664491190499994,969332,-0.040919407582231886
